id,name
cuva,Cuyahoga Valley National Park
cech,C�sar E. Ch�vez National Monument
dabe,David Berger National Memorial
daav,Dayton Aviation Heritage National Historical Park
deso,De Soto National Memorial
deva,Death Valley National Park
dele,Delaware & Lehigh National Heritage Corridor
dewa,Delaware Water Gap National Recreation Area
dena,Denali National Park & Preserve
depo,Devils Postpile National Monument
deto,Devils Tower National Monument
dino,Dinosaur National Monument
drto,Dry Tortugas National Park
ebla,Ebey's Landing National Historical Reserve
edal,Edgar Allan Poe National Historic Site
efmo,Effigy Mounds National Monument
eise,Eisenhower National Historic Site
elte,El Camino Real de los Tejas National Historic Trail
elca,El Camino Real de Tierra Adentro National Historic Trail
elma,El Malpais National Monument
elmo,El Morro National Monument
elro,Eleanor Roosevelt National Historic Site
elis,Ellis Island Part of Statue of Liberty National Monument
erie,Erie Canalway National Heritage Corridor
esse,Essex National Heritage Area
euon,Eugene O'Neill National Historic Site
ever,Everglades National Park
fati,Fallen Timbers Battlefield and Fort Miamis National Historic Site
feha,Federal Hall National Memorial
fiis,Fire Island National Seashore
fila,First Ladies National Historic Site
frst,First State National Historical Park
flni,Flight 93 National Memorial
flfo,Florissant Fossil Beds National Monument
foth,Ford's Theatre
fobo,Fort Bowie National Historic Site
foca,Fort Caroline National Memorial
foda,Fort Davis National Historic Site
fodo,Fort Donelson National Battlefield
fodu,Fort Dupont Park
fofo,Fort Foote Park
fofr,Fort Frederica National Monument
fola,Fort Laramie National Historic Site
fols,Fort Larned National Historic Site
foma,Fort Matanzas National Monument
fomc,Fort McHenry National Monument and Historic Shrine
fomr,Fort Monroe National Monument
fone,Fort Necessity National Battlefield
fopo,Fort Point National Historic Site
fopu,Fort Pulaski National Monument
fora,Fort Raleigh National Historic Site
fosc,Fort Scott National Historic Site
fosm,Fort Smith National Historic Site
fost,Fort Stanwix National Monument
fosu,Fort Sumter National Monument
foun,Fort Union National Monument
fous,Fort Union Trading Post National Historic Site
fova,Fort Vancouver National Historic Site
fowa,Fort Washington Park
fobu,Fossil Butte National Monument
frde,Franklin Delano Roosevelt Memorial
frdo,Frederick Douglass National Historic Site
frla,Frederick Law Olmsted National Historic Site
frsp,Fredericksburg & Spotsylvania National Military Park
frri,Freedom Riders National Monument
frwa,Freedom's Way National Heritage Area
frhi,Friendship Hill National Historic Site
gaar,Gates Of The Arctic National Park & Preserve
gate,Gateway National Recreation Area
gari,Gauley River National Recreation Area
gegr,General Grant National Memorial
gero,George Rogers Clark National Historical Park
gewa,George Washington Birthplace National Monument
gwca,George Washington Carver National Monument
gwmp,George Washington Memorial Parkway
gett,Gettysburg National Military Park
gicl,Gila Cliff Dwellings National Monument
glba,Glacier Bay National Park & Preserve
glac,Glacier National Park
glca,Glen Canyon National Recreation Area
glec,Glen Echo Park
glde,Gloria Dei Church National Historic Site
goga,Golden Gate National Recreation Area
gosp,Golden Spike National Historic Site
gois,Governors Island National Monument
grca,Grand Canyon National Park
grpo,Grand Portage National Monument
grte,Grand Teton National Park
grko,Grant-Kohrs Ranch National Historic Site
grba,Great Basin National Park
greg,Great Egg Harbor River
grfa,Great Falls Park
grsa,Great Sand Dunes National Park & Preserve
grsm,Great Smoky Mountains National Park
grsp,Green Springs
gree,Greenbelt Park
gumo,Guadalupe Mountains National Park
guco,Guilford Courthouse National Military Park
guis,Gulf Islands National Seashore
guge,Gullah/Geechee Cultural Heritage Corridor
hafo,Hagerman Fossil Beds National Monument
hale,Haleakal_ National Park
hagr,Hamilton Grange National Memorial
hamp,Hampton National Historic Site
haha,Harmony Hall
hafe,Harpers Ferry National Historical Park
hart,Harriet Tubman National Historical Park
hatu,Harriet Tubman Underground Railroad National Historical Park
hstr,Harry S Truman National Historic Site
havo,Hawai'i Volcanoes National Park
heho,Herbert Hoover National Historic Site
jame,Historic Jamestowne Part of Colonial National Historical Park
hofr,Home Of Franklin D Roosevelt National Historic Site
home,Homestead National Monument of America
hono,Honouliuli National Monument
hocu,Hopewell Culture National Historical Park
hofu,Hopewell Furnace National Historic Site
hobe,Horseshoe Bend National Military Park
hosp,Hot Springs National Park
hove,Hovenweep National Monument
hutr,Hubbell Trading Post National Historic Site
hurv,Hudson River Valley National Heritage Area
inup,I�upiat Heritage Center
iafl,Ice Age Floods National Geologic Trail
iatr,Ice Age National Scenic Trail
inde,Independence National Historical Park
indu,Indiana Dunes National Lakeshore
isro,Isle Royale National Park
jaga,James A Garfield National Historic Site
jela,Jean Lafitte National Historical Park and Preserve
jeff,Jefferson National Expansion Memorial
jeca,Jewel Cave National Monument
jica,Jimmy Carter National Historic Site
joda,John Day Fossil Beds National Monument
jofi,John Fitzgerald Kennedy National Historic Site
blac,John H. Chafee Blackstone River Valley National Heritage Corridor
jomu,John Muir National Historic Site
jofl,Johnstown Flood National Memorial
jotr,Joshua Tree National Park
jthg,Journey Through Hallowed Ground National Heritage Area
juba,Juan Bautista de Anza National Historic Trail
kala,Kalaupapa National Historical Park
kaho,Kaloko-Honok_hau National Historical Park
kaww,Katahdin Woods and Waters National Monument
katm,Katmai National Park & Preserve
kefj,Kenai Fjords National Park
keaq,Kenilworth Park & Aquatic Gardens
kemo,Kennesaw Mountain National Battlefield Park
kewe,Keweenaw National Historical Park
kimo,Kings Mountain National Military Park
klse,Klondike Gold Rush - Seattle Unit National Historical Park
klgo,Klondike Gold Rush National Historical Park
knri,Knife River Indian Villages National Historic Site
kova,Kobuk Valley National Park
kowa,Korean War Veterans Memorial
lach,Lake Chelan National Recreation Area
lacl,Lake Clark National Park & Preserve
lake,Lake Mead National Recreation Area
lamr,Lake Meredith National Recreation Area
laro,Lake Roosevelt National Recreation Area
lavo,Lassen Volcanic National Park
labe,Lava Beds National Monument
lyba,LBJ Memorial Grove on the Potomac
lecl,Lewis & Clark National Historic Trail
lewi,Lewis and Clark National Historical Park
libo,Lincoln Boyhood National Memorial
liho,Lincoln Home National Historic Site
linc,Lincoln Memorial
libi,Little Bighorn Battlefield National Monument
liri,Little River Canyon National Preserve
chsc,Little Rock Central High School National Historic Site
long,Longfellow House Washington's Headquarters National Historic Site
lowe,Lowell National Historical Park
lode,Lower Delaware National Wild and Scenic River
loea,Lower East Side Tenement Museum National Historic Site
lyjo,Lyndon B Johnson National Historical Park
mawa,Maggie L Walker National Historic Site
maac,Maine Acadian Culture
maca,Mammoth Cave National Park
mana,Manassas National Battlefield Park
mapr,Manhattan Project National Historical Park
manz,Manzanar National Historic Site
mabi,Marsh - Billings - Rockefeller National Historical Park
malu,Martin Luther King Jr National Historic Site
mlkm,"Martin Luther King, Jr. Memorial"
mava,Martin Van Buren National Historic Site
mamc,Mary McLeod Bethune Council House National Historic Site
meve,Mesa Verde National Park
miin,Minidoka National Historic Site
mima,Minute Man National Historical Park
mimi,Minuteman Missile National Historic Site
mide,Mississippi Delta National Heritage Area
migu,Mississippi Gulf National Heritage Area
mihi,Mississippi Hills National Heritage Area
miss,Mississippi National River and Recreation Area
mnrr,Missouri National Recreational River
moja,Mojave National Preserve
mono,Monocacy National Battlefield
moca,Montezuma Castle National Monument
mocr,Moores Creek National Battlefield
mopi,Mormon Pioneer National Historic Trail
morr,Morristown National Historical Park
auto,Motor Cities National Heritage Area
mora,Mount Rainier National Park
moru,Mount Rushmore National Memorial
muwo,Muir Woods National Monument
mush,Muscle Shoals National Heritage Area
natc,Natchez National Historical Park
natt,Natchez Trace National Scenic Trail
natr,Natchez Trace Parkway
avia,National Aviation Heritage Area
nace,National Capital Parks-East
nama,National Mall and Memorial Parks
npsa,National Park of American Samoa
npnh,National Parks of New York Harbor
nabr,Natural Bridges National Monument
nava,Navajo National Monument
nebe,New Bedford Whaling National Historical Park
neen,New England National Scenic Trail
pine,New Jersey Pinelands National Reserve
jazz,New Orleans Jazz National Historical Park
neri,New River Gorge National River
nepe,Nez Perce National Historical Park
nifa,Niagara Falls National Heritage Area
nico,Nicodemus National Historic Site
nisi,Ninety Six National Historic Site
niob,Niobrara National Scenic River
noat,Noatak National Preserve
noca,North Cascades National Park
noco,North Country National Scenic Trail
obed,Obed Wild & Scenic River
ocmu,Ocmulgee National Monument
oire,Oil Region National Heritage Area
okci,Oklahoma City National Memorial
olsp,Old Spanish National Historic Trail
olym,Olympic National Park
orca,Oregon Caves National Monument & Preserve
oreg,Oregon National Historic Trail
orpi,Organ Pipe Cactus National Monument
ovvi,Overmountain Victory National Historic Trail
oxhi,Oxon Cove Park & Oxon Hill Farm
ozar,Ozark National Scenic Riverways
pais,Padre Island National Seashore
paal,Palo Alto Battlefield National Historical Park
para,Parashant Grand Canyon-Parashant National Monument
pagr,Paterson Great Falls National Historical Park
peri,Pea Ridge National Military Park
peco,Pecos National Historical Park
paav,Pennsylvania Avenue
pevi,Perry's Victory & International Peace Memorial
pete,Petersburg National Battlefield
pefo,Petrified Forest National Park
petr,Petroglyph National Monument
piro,Pictured Rocks National Lakeshore
pinn,Pinnacles National Park
pisp,Pipe Spring National Monument
pipe,Pipestone National Monument
pisc,Piscataway Park
pore,Point Reyes National Seashore
poex,Pony Express National Historic Trail
poch,Port Chicago Naval Magazine National Memorial
pohe,Potomac Heritage National Scenic Trail
popo,Poverty Point National Monument
wicl,President William Jefferson Clinton Birthplace Home National Historic Site
whho,President's Park (White House)
prsf,Presidio of San Francisco
prwi,Prince William Forest Park
puho,Pu`uhonua O H_naunau National Historical Park
puhe,Pu`ukohol_ Heiau National Historic Site
pull,Pullman National Monument
rabr,Rainbow Bridge National Monument
reer,Reconstruction Era National Monument
redw,Redwood National and State Parks
rich,Richmond National Battlefield Park
rigr,Rio Grande Wild & Scenic River
rira,River Raisin National Battlefield Park
rist,Rivers Of Steel National Heritage Area
rocr,Rock Creek Park
romo,Rocky Mountain National Park
rowi,Roger Williams National Memorial
roca,Roosevelt Campobello International Park
rori,Rosie the Riveter WWII Home Front National Historical Park
ruca,Russell Cave National Monument
sahi,Sagamore Hill National Historic Site
sagu,Saguaro National Park
sacr,Saint Croix Island International Historic Site
sacn,Saint Croix National Scenic Riverway
sapa,Saint Paul's Church National Historic Site
saga,Saint-Gaudens National Historic Site
sama,Salem Maritime National Historic Site
sapu,Salinas Pueblo Missions National Monument
sari,Salt River Bay National Historical Park and Ecological Preserve
saan,San Antonio Missions National Historical Park
safr,San Francisco Maritime National Historical Park
sajh,San Juan Island National Historical Park
saju,San Juan National Historic Site
sand,Sand Creek Massacre National Historic Site
safe,Santa Fe National Historic Trail
samo,Santa Monica Mountains National Recreation Area
sara,Saratoga National Historical Park
sair,Saugus Iron Works National Historic Site
scrv,Schuylkill River Valley National Heritage Area
scbl,Scotts Bluff National Monument
semo,Selma To Montgomery National Historic Trail
seki,Sequoia & Kings Canyon National Parks
shen,Shenandoah National Park
shvb,Shenandoah Valley Battlefields National Historic District
shil,Shiloh National Military Park
sitk,Sitka National Historical Park
slbe,Sleeping Bear Dunes National Lakeshore
soca,South Carolina National Heritage Corridor
spar,Springfield Armory National Historic Site
stsp,Star-Spangled Banner National Historic Trail
stli,Statue Of Liberty National Monument
stea,Steamtown National Historic Site
stri,Stones River National Battlefield
ston,Stonewall National Monument
sucr,Sunset Crater Volcano National Monument
tapr,Tallgrass Prairie National Preserve
tecw,Tennessee Civil War National Heritage Area
thko,Thaddeus Kosciuszko National Memorial
qush,The Last Green Valley National Heritage Corridor
thrb,Theodore Roosevelt Birthplace National Historic Site
thri,Theodore Roosevelt Inaugural National Historic Site
this,Theodore Roosevelt Island
thro,Theodore Roosevelt National Park
thco,Thomas Cole National Historic Site
edis,Thomas Edison National Historical Park
thje,Thomas Jefferson Memorial
thst,Thomas Stone National Historic Site
tica,Timpanogos Cave National Monument
timu,Timucuan Ecological & Historic Preserve
tont,Tonto National Monument
tosy,Touro Synagogue National Historic Site
trte,Trail Of Tears National Historic Trail
tule,Tule Lake Unit
tusk,Tule Springs Fossil Beds National Monument
tuma,Tumac�cori National Historical Park
tupe,Tupelo National Battlefield
tuai,Tuskegee Airmen National Historic Site
tuin,Tuskegee Institute National Historic Site
tuzi,Tuzigoot National Monument
ulsg,Ulysses S Grant National Historic Site
upde,Upper Delaware Scenic & Recreational River
uphv,Upper Housatonic Valley National Heritage Area
vall,Valles Caldera National Preserve
vafo,Valley Forge National Historical Park
vama,Vanderbilt Mansion National Historic Site
vick,Vicksburg National Military Park
vive,Vietnam Veterans Memorial
vicr,Virgin Islands Coral Reef National Monument
viis,Virgin Islands National Park
voya,Voyageurs National Park
waco,Waco Mammoth National Monument
waca,Walnut Canyon National Monument
wapa,War In The Pacific National Historical Park
wamo,Washington Monument
waro,Washington-Rochambeau National Historic Trail
waba,Washita Battlefield National Historic Site
wefa,Weir Farm National Historic Site
whee,Wheeling National Heritage Area
whis,Whiskeytown National Recreation Area
whsa,White Sands National Monument
whmi,Whitman Mission National Historic Site
wiho,William Howard Taft National Historic Site
wicr,Wilson's Creek National Battlefield
wica,Wind Cave National Park
wing,Wing Luke Museum Affiliated Area
wotr,Wolf Trap National Park for the Performing Arts
wori,Women's Rights National Historical Park
wwii,World War II Memorial
valr,World War II Valor in the Pacific National Monument
wrst,Wrangell - St Elias National Park & Preserve
wrbr,Wright Brothers National Memorial
wupa,Wupatki National Monument
yell,Yellowstone National Park
york,Yorktown Battlefield Part of Colonial National Historical Park
yose,Yosemite National Park
yuho,Yucca House National Monument
yuch,Yukon - Charley Rivers National Preserve
zion,Zion National Park
